Date,Open,High,Low,Close,Adj Close,Volume
2001-09-01,6312.790039,6312.790039,4950.709961,5403.529785,5403.529785,1339283600
2001-10-01,5404.419922,5853.370117,5316.250000,5537.040039,5537.040039,1639376000
2001-11-01,5542.500000,5907.350098,5514.410156,5832.830078,5832.830078,1522304400
2001-12-01,5833.049805,6490.100098,5800.060059,6372.279785,6372.279785,1420290000
2002-01-01,6386.180176,6927.870117,6365.720215,6927.870117,6927.870117,2126035400
2002-02-01,6925.189941,7011.029785,6450.209961,6734.439941,6734.439941,1540142400
2002-03-01,6736.060059,7450.439941,6726.799805,7361.859863,7361.859863,1767718800
2002-04-01,7362.140137,7611.120117,7169.609863,7480.740234,7480.740234,1988529400
2002-05-01,7480.370117,7588.689941,7030.339844,7031.640137,7031.640137,1744930000
2002-06-01,7034.220215,7070.470215,6104.560059,6460.950195,6460.950195,1837721000
2002-07-01,6461.569824,6561.750000,5763.589844,6021.839844,6021.839844,1577057600
2002-08-01,6017.660156,6304.509766,5500.759766,6216.430176,6216.430176,1648230000
2002-09-01,6212.950195,6305.120117,5641.169922,5728.459961,5728.459961,1235233600
2002-10-01,5748.370117,6040.319824,5734.299805,5967.729980,5967.729980,1338794600
2002-11-01,5967.529785,6178.799805,5625.040039,6156.830078,6156.830078,1065886600
2002-12-01,6160.359863,6263.759766,6018.080078,6127.089844,6127.089844,785853800
2003-01-01,6131.660156,6415.850098,5860.160156,5954.350098,5954.350098,1150817400
2003-02-01,5954.089844,6059.549805,5718.209961,5927.060059,5927.060059,1013507400
2003-03-01,5925.169922,6058.220215,5764.770020,5914.029785,5914.029785,1137639000
2003-04-01,5914.689941,6549.049805,5881.979980,6509.879883,6509.879883,1253905800
2003-05-01,6509.910156,6738.279785,6356.700195,6699.180176,6699.180176,1449670300
2003-06-01,6699.640137,7184.180176,6699.250000,7054.990234,7054.990234,1657702600
2003-07-01,7054.759766,7369.229980,6980.319824,7355.069824,7355.069824,1653804800
2003-08-01,7354.979980,7596.689941,7218.799805,7591.419922,7591.419922,1092012600
2003-09-01,7593.250000,7902.089844,7592.120117,7822.479980,7822.479980,1405550400
