DATE,LCEAMN01MXM661S
2020-01-01,128.651442170096
2020-02-01,128.941373011209
2020-03-01,128.222798671218
2020-04-01,127.820839347176
2020-05-01,127.15124597268
2020-06-01,129.558953358066
2020-07-01,132.014937262101
2020-08-01,132.39760512443
2020-09-01,132.571432677261
2020-10-01,135.008675333642
2020-11-01,134.404308270243
2020-12-01,134.488850576212
2021-01-01,135.373261921641
2021-02-01,135.410837101139
2021-03-01,137.19904240707
2021-04-01,136.895639486408
2021-05-01,138.590400768954
2021-06-01,137.487842772979
2021-07-01,138.130225041338
2021-08-01,137.891340378426
2021-09-01,138.554425491261
2021-10-01,139.763054491391
2021-11-01,140.546646098599
2021-12-01,142.158591726372
2022-01-01,142.177022475678
2022-02-01,144.122504238349
2022-03-01,144.381073527941
2022-04-01,146.624743367125
2022-05-01,146.367857048711
2022-06-01,148.838156914294
2022-07-01,149.227644918204
2022-08-01,150.672224527423
2022-09-01,153.027830737853
2022-10-01,152.691610889647
2022-11-01,154.064282459369
2022-12-01,156.681080279074
2023-01-01,157.909811847859
2023-02-01,159.289012817198
2023-03-01,161.285517001982
